id,name,short_name,level_type,parent_id,city_id
220700,松原市,松原,2,220000.0,220700.0
321200,泰州市,泰州,2,320000.0,321200.0
321300,宿迁市,宿迁,2,320000.0,321300.0
330600,绍兴市,绍兴,2,330000.0,330600.0
330700,金华市,金华,2,330000.0,330700.0
331000,台州市,台州,2,330000.0,331000.0
331100,丽水市,丽水,2,330000.0,331100.0
450900,玉林市,玉林,2,450000.0,450900.0
451000,百色市,百色,2,450000.0,451000.0
451100,贺州市,贺州,2,450000.0,451100.0
451200,河池市,河池,2,450000.0,451200.0
460300,三沙市,三沙,2,460000.0,460300.0
511500,宜宾市,宜宾,2,510000.0,511500.0
511600,广安市,广安,2,510000.0,511600.0
511700,达州市,达州,2,510000.0,511700.0
632600,果洛藏族自治州,果洛,2,630000.0,632600.0
650200,克拉玛依市,克拉玛依,2,650000.0,650200.0
652700,博尔塔拉蒙古自治州,博尔塔拉,2,650000.0,652700.0
652800,巴音郭楞蒙古自治州,巴音郭楞,2,650000.0,652800.0
652900,阿克苏地区,阿克苏,2,650000.0,652900.0
654200,塔城地区,塔城,2,650000.0,654200.0
140500,晋城市,晋城,2,140000.0,140500.0
610600,延安市,延安,2,610000.0,610600.0
710100,台北市,台北,2,710000.0,710100.0
210500,本溪市,本溪,2,210000.0,210500.0
420700,鄂州市,鄂州,2,420000.0,420700.0
420500,宜昌市,宜昌,2,420000.0,420500.0
430300,湘潭市,湘潭,2,430000.0,430300.0
430800,张家界市,张家界,2,430000.0,430800.0
430900,益阳市,益阳,2,430000.0,430900.0
431000,郴州市,郴州,2,430000.0,431000.0
431100,永州市,永州,2,430000.0,431100.0
440900,茂名市,茂名,2,440000.0,440900.0
441400,梅州市,梅州,2,440000.0,441400.0
441500,汕尾市,汕尾,2,440000.0,441500.0
340300,蚌埠市,蚌埠,2,340000.0,340300.0
445100,潮州市,潮州,2,440000.0,445100.0
445200,揭阳市,揭阳,2,440000.0,445200.0
450100,南宁市,南宁,2,450000.0,450100.0
510300,自贡市,自贡,2,510000.0,510300.0
451300,来宾市,来宾,2,450000.0,451300.0
140700,晋中市,晋中,2,140000.0,140700.0
341600,亳州市,亳州,2,340000.0,341600.0
341700,池州市,池州,2,340000.0,341700.0
341800,宣城市,宣城,2,340000.0,341800.0
360400,九江市,九江,2,360000.0,360400.0
360500,新余市,新余,2,360000.0,360500.0
360600,鹰潭市,鹰潭,2,360000.0,360600.0
360700,赣州市,赣州,2,360000.0,360700.0
411600,周口市,周口,2,410000.0,411600.0
411700,驻马店市,驻马店,2,410000.0,411700.0
420300,十堰市,十堰,2,420000.0,420300.0
429005,潜江市,潜江,3,420000.0,420000.0
429006,天门市,天门,3,420000.0,420000.0
429021,神农架林区,神农架,3,420000.0,420000.0
460400,儋州市,儋州,2,460000.0,460400.0
469001,五指山市,五指山,3,460000.0,460000.0
469002,琼海市,琼海,3,460000.0,460000.0
469005,文昌市,文昌,3,460000.0,460000.0
710200,高雄市,高雄市,2,710000.0,710200.0
441200,肇庆市,肇庆,2,440000.0,441200.0
441900,东莞市,东莞,2,440000.0,441900.0
520600,铜仁市,铜仁,2,520000.0,520600.0
419001,济源市,济源,3,410000.0,410000.0
429004,仙桃市,仙桃,3,420000.0,420000.0
469006,万宁市,万宁,3,460000.0,460000.0
469007,东方市,东方,3,460000.0,460000.0
469021,定安县,定安,3,460000.0,460000.0
469022,屯昌县,屯昌,3,460000.0,460000.0
469023,澄迈县,澄迈,3,460000.0,460000.0
469024,临高县,临高,3,460000.0,460000.0
469025,白沙黎族自治县,白沙,3,460000.0,460000.0
469026,昌江黎族自治县,昌江,3,460000.0,460000.0
469027,乐东黎族自治县,乐东,3,460000.0,460000.0
469028,陵水黎族自治县,陵水,3,460000.0,460000.0
469029,保亭黎族苗族自治县,保亭,3,460000.0,460000.0
469030,琼中黎族苗族自治县,琼中,3,460000.0,460000.0
540400,林芝市,林芝,2,540000.0,540400.0
540500,山南市,山南,2,540000.0,540500.0
540600,那曲市,那曲,2,540000.0,540600.0
650400,吐鲁番市,吐鲁番,2,650000.0,650400.0
650500,哈密市,哈密,2,650000.0,650500.0
659001,石河子市,石河子,3,650000.0,650000.0
659002,阿拉尔市,阿拉尔,3,650000.0,650000.0
659003,图木舒克市,图木舒克,3,650000.0,650000.0
